timestamp, utilization.gpu [%], power.draw [W], temperature.gpu [C]
2025/07/30 14:41:57.054, 0, 33.34, 34
2025/07/30 14:41:58.105, 0, 33.34, 34
2025/07/30 14:41:59.149, 0, 33.34, 34
2025/07/30 14:42:00.173, 100, 165.58, 48
2025/07/30 14:42:01.238, 100, 352.95, 50
2025/07/30 14:42:02.281, 100, 350.72, 51
2025/07/30 14:42:03.305, 100, 350.14, 52
2025/07/30 14:42:04.330, 100, 345.75, 53
2025/07/30 14:42:05.393, 100, 351.53, 54
2025/07/30 14:42:06.441, 100, 350.24, 54
2025/07/30 14:42:07.486, 100, 350.33, 54
2025/07/30 14:42:08.531, 100, 345.99, 55
2025/07/30 14:42:09.572, 100, 350.01, 56
2025/07/30 14:42:10.637, 100, 349.90, 56
2025/07/30 14:42:11.705, 100, 349.84, 57
2025/07/30 14:42:12.769, 100, 346.57, 57
2025/07/30 14:42:13.815, 100, 349.73, 58
2025/07/30 14:42:14.856, 100, 349.90, 58
2025/07/30 14:42:15.898, 100, 350.18, 59
2025/07/30 14:42:16.942, 100, 347.65, 59
2025/07/30 14:42:17.986, 100, 349.94, 60
2025/07/30 14:42:19.030, 100, 349.78, 60
2025/07/30 14:42:20.077, 100, 350.27, 61
2025/07/30 14:42:21.140, 100, 359.62, 61
2025/07/30 14:42:22.181, 100, 348.91, 61
2025/07/30 14:42:23.229, 100, 348.52, 62
2025/07/30 14:42:24.274, 100, 349.13, 62
2025/07/30 14:42:25.318, 100, 355.89, 62
2025/07/30 14:42:26.360, 100, 349.48, 63
2025/07/30 14:42:27.401, 100, 348.03, 63
2025/07/30 14:42:28.440, 100, 349.16, 60
2025/07/30 14:42:29.501, 100, 350.99, 63
2025/07/30 14:42:30.545, 100, 348.29, 64
2025/07/30 14:42:31.588, 100, 349.11, 64
2025/07/30 14:42:32.628, 100, 336.76, 58
2025/07/30 14:42:33.682, 100, 345.09, 65
2025/07/30 14:42:34.725, 100, 349.75, 65
2025/07/30 14:42:35.770, 100, 349.75, 65
2025/07/30 14:42:36.813, 100, 350.41, 65
2025/07/30 14:42:37.852, 100, 352.94, 66
2025/07/30 14:42:38.875, 100, 349.52, 66
2025/07/30 14:42:39.915, 100, 350.56, 66
2025/07/30 14:42:40.977, 100, 349.64, 61
2025/07/30 14:42:42.021, 100, 343.76, 67
2025/07/30 14:42:43.088, 100, 349.38, 67
2025/07/30 14:42:44.129, 100, 350.01, 67
2025/07/30 14:42:45.173, 100, 347.62, 65
2025/07/30 14:42:46.218, 100, 357.44, 67
2025/07/30 14:42:47.282, 100, 350.14, 68
2025/07/30 14:42:48.345, 100, 349.62, 68
2025/07/30 14:42:49.390, 100, 340.17, 68
2025/07/30 14:42:50.434, 100, 357.09, 68
2025/07/30 14:42:51.477, 100, 350.65, 68
2025/07/30 14:42:52.522, 100, 350.34, 68
2025/07/30 14:42:53.546, 100, 339.13, 67
2025/07/30 14:42:54.595, 100, 357.82, 68
2025/07/30 14:42:55.637, 100, 349.03, 68
2025/07/30 14:42:56.702, 100, 349.97, 69
