Timestamp,Instantaneous(W),Min(W),Max(W),Avg(W),SamplingPeriod(s)
2025-07-30 14:41:57,532,15,1323,532,Seconds.
2025-07-30 14:41:58,521,15,1323,521,Seconds.
2025-07-30 14:41:59,535,15,1323,535,Seconds.
2025-07-30 14:42:00,1162,15,1323,1162,Seconds.
2025-07-30 14:42:01,1162,15,1323,1162,Seconds.
2025-07-30 14:42:02,1186,15,1323,1186,Seconds.
2025-07-30 14:42:03,1146,15,1323,1146,Seconds.
2025-07-30 14:42:04,1111,15,1323,1111,Seconds.
2025-07-30 14:42:05,1143,15,1323,1143,Seconds.
2025-07-30 14:42:06,1144,15,1323,1144,Seconds.
2025-07-30 14:42:07,1164,15,1323,1164,Seconds.
2025-07-30 14:42:08,1169,15,1323,1169,Seconds.
2025-07-30 14:42:09,1145,15,1323,1145,Seconds.
2025-07-30 14:42:10,1147,15,1323,1147,Seconds.
2025-07-30 14:42:11,1161,15,1323,1161,Seconds.
2025-07-30 14:42:13,1157,15,1323,1157,Seconds.
2025-07-30 14:42:14,1157,15,1323,1157,Seconds.
2025-07-30 14:42:15,1163,15,1323,1163,Seconds.
2025-07-30 14:42:16,1148,15,1323,1148,Seconds.
2025-07-30 14:42:17,1169,15,1323,1169,Seconds.
2025-07-30 14:42:18,1150,15,1323,1150,Seconds.
2025-07-30 14:42:19,1152,15,1323,1152,Seconds.
2025-07-30 14:42:20,1255,15,1323,1255,Seconds.
2025-07-30 14:42:21,1152,15,1323,1152,Seconds.
2025-07-30 14:42:22,1184,15,1323,1184,Seconds.
2025-07-30 14:42:23,1179,15,1323,1179,Seconds.
2025-07-30 14:42:24,1115,15,1323,1115,Seconds.
2025-07-30 14:42:25,1164,15,1323,1164,Seconds.
2025-07-30 14:42:26,1153,15,1323,1153,Seconds.
2025-07-30 14:42:27,1153,15,1323,1153,Seconds.
2025-07-30 14:42:28,1155,15,1323,1155,Seconds.
2025-07-30 14:42:29,1168,15,1323,1168,Seconds.
2025-07-30 14:42:30,1171,15,1323,1171,Seconds.
2025-07-30 14:42:32,1166,15,1323,1166,Seconds.
2025-07-30 14:42:33,1161,15,1323,1161,Seconds.
2025-07-30 14:42:34,1156,15,1323,1156,Seconds.
2025-07-30 14:42:35,1156,15,1323,1156,Seconds.
2025-07-30 14:42:36,1149,15,1323,1149,Seconds.
2025-07-30 14:42:37,1158,15,1323,1158,Seconds.
2025-07-30 14:42:38,1129,15,1323,1129,Seconds.
2025-07-30 14:42:39,1156,15,1323,1156,Seconds.
2025-07-30 14:42:40,1116,15,1323,1116,Seconds.
2025-07-30 14:42:41,1174,15,1323,1174,Seconds.
2025-07-30 14:42:42,1189,15,1323,1189,Seconds.
2025-07-30 14:42:43,1189,15,1323,1189,Seconds.
2025-07-30 14:42:44,1175,15,1323,1175,Seconds.
2025-07-30 14:42:45,1182,15,1323,1182,Seconds.
2025-07-30 14:42:46,1174,15,1323,1174,Seconds.
2025-07-30 14:42:47,1161,15,1323,1161,Seconds.
2025-07-30 14:42:48,1164,15,1323,1164,Seconds.
2025-07-30 14:42:50,1046,15,1323,1046,Seconds.
2025-07-30 14:42:51,1166,15,1323,1166,Seconds.
2025-07-30 14:42:52,1173,15,1323,1173,Seconds.
2025-07-30 14:42:53,1223,15,1323,1223,Seconds.
2025-07-30 14:42:54,1193,15,1323,1193,Seconds.
2025-07-30 14:42:55,1204,15,1323,1204,Seconds.
2025-07-30 14:42:56,1204,15,1323,1204,Seconds.
2025-07-30 14:42:57,1187,15,1323,1187,Seconds.
2025-07-30 14:42:58,1190,15,1323,1190,Seconds.
2025-07-30 14:42:59,1183,15,1323,1183,Seconds.
2025-07-30 14:43:00,1171,15,1323,1171,Seconds.
2025-07-30 14:43:01,1166,15,1323,1166,Seconds.
2025-07-30 14:43:02,1048,15,1323,1048,Seconds.
2025-07-30 14:43:03,1168,15,1323,1168,Seconds.
2025-07-30 14:43:04,1173,15,1323,1173,Seconds.
2025-07-30 14:43:05,1083,15,1323,1083,Seconds.
2025-07-30 14:43:06,1176,15,1323,1176,Seconds.
2025-07-30 14:43:07,1210,15,1323,1210,Seconds.
2025-07-30 14:43:08,1205,15,1323,1205,Seconds.
2025-07-30 14:43:10,1205,15,1323,1205,Seconds.
2025-07-30 14:43:11,1204,15,1323,1204,Seconds.
2025-07-30 14:43:12,1199,15,1323,1199,Seconds.
2025-07-30 14:43:13,1188,15,1323,1188,Seconds.
2025-07-30 14:43:14,1186,15,1323,1186,Seconds.
2025-07-30 14:43:15,1183,15,1323,1183,Seconds.
2025-07-30 14:43:16,1180,15,1323,1180,Seconds.
2025-07-30 14:43:17,1175,15,1323,1175,Seconds.
2025-07-30 14:43:18,1189,15,1323,1189,Seconds.
2025-07-30 14:43:19,1197,15,1323,1197,Seconds.
2025-07-30 14:43:20,1214,15,1323,1214,Seconds.
2025-07-30 14:43:21,1212,15,1323,1212,Seconds.
2025-07-30 14:43:22,1191,15,1323,1191,Seconds.
2025-07-30 14:43:23,1203,15,1323,1203,Seconds.
2025-07-30 14:43:24,1203,15,1323,1203,Seconds.
2025-07-30 14:43:25,1199,15,1323,1199,Seconds.
2025-07-30 14:43:26,1190,15,1323,1190,Seconds.
2025-07-30 14:43:28,1211,15,1323,1211,Seconds.
2025-07-30 14:43:29,1192,15,1323,1192,Seconds.
2025-07-30 14:43:30,1214,15,1323,1214,Seconds.
2025-07-30 14:43:31,1182,15,1323,1182,Seconds.
2025-07-30 14:43:32,1231,15,1323,1231,Seconds.
2025-07-30 14:43:33,1241,15,1323,1241,Seconds.
2025-07-30 14:43:34,1223,15,1323,1223,Seconds.
2025-07-30 14:43:35,1225,15,1323,1225,Seconds.
2025-07-30 14:43:36,1231,15,1323,1231,Seconds.
2025-07-30 14:43:37,1229,15,1323,1229,Seconds.
2025-07-30 14:43:38,1221,15,1323,1221,Seconds.
2025-07-30 14:43:39,1221,15,1323,1221,Seconds.
2025-07-30 14:43:40,1194,15,1323,1194,Seconds.
2025-07-30 14:43:41,1215,15,1323,1215,Seconds.
2025-07-30 14:43:42,1235,15,1323,1235,Seconds.
2025-07-30 14:43:43,1237,15,1323,1237,Seconds.
2025-07-30 14:43:45,1249,15,1323,1249,Seconds.
2025-07-30 14:43:46,1220,15,1323,1220,Seconds.
2025-07-30 14:43:47,1226,15,1323,1226,Seconds.
2025-07-30 14:43:48,1218,15,1323,1218,Seconds.
2025-07-30 14:43:49,1217,15,1323,1217,Seconds.
2025-07-30 14:43:50,1213,15,1323,1213,Seconds.
2025-07-30 14:43:51,1138,15,1323,1138,Seconds.
2025-07-30 14:43:52,1214,15,1323,1214,Seconds.
2025-07-30 14:43:53,1213,15,1323,1213,Seconds.
2025-07-30 14:43:54,1218,15,1323,1218,Seconds.
2025-07-30 14:43:55,1230,15,1323,1230,Seconds.
