timestamp, utilization.gpu [%], power.draw [W], temperature.gpu [C]
2025/07/30 14:59:58.372, 0, 33.05, 30
2025/07/30 14:59:59.413, 0, 33.10, 30
2025/07/30 15:00:00.477, 0, 33.10, 30
2025/07/30 15:00:01.501, 100, 175.63, 44
2025/07/30 15:00:02.540, 100, 352.35, 46
2025/07/30 15:00:03.581, 100, 352.39, 47
2025/07/30 15:00:04.621, 100, 351.97, 48
2025/07/30 15:00:05.666, 100, 348.01, 49
2025/07/30 15:00:06.708, 100, 349.42, 50
2025/07/30 15:00:07.751, 100, 348.40, 51
2025/07/30 15:00:08.817, 100, 350.39, 51
2025/07/30 15:00:09.862, 100, 355.17, 52
2025/07/30 15:00:10.924, 100, 350.10, 52
2025/07/30 15:00:11.965, 100, 348.55, 53
2025/07/30 15:00:12.989, 100, 348.94, 53
2025/07/30 15:00:14.032, 100, 356.11, 54
2025/07/30 15:00:15.092, 100, 349.20, 55
2025/07/30 15:00:16.132, 100, 349.60, 55
2025/07/30 15:00:17.192, 100, 349.27, 56
2025/07/30 15:00:18.214, 100, 356.52, 56
2025/07/30 15:00:19.278, 100, 349.94, 57
2025/07/30 15:00:20.321, 100, 350.55, 57
2025/07/30 15:00:21.364, 100, 350.48, 53
2025/07/30 15:00:22.411, 100, 346.11, 58
2025/07/30 15:00:23.454, 100, 349.97, 58
2025/07/30 15:00:24.496, 100, 349.52, 59
2025/07/30 15:00:25.519, 100, 350.08, 56
2025/07/30 15:00:26.582, 100, 342.86, 60
2025/07/30 15:00:27.626, 100, 349.82, 60
2025/07/30 15:00:28.669, 100, 348.93, 60
2025/07/30 15:00:29.713, 100, 349.66, 56
2025/07/30 15:00:30.776, 100, 357.72, 61
2025/07/30 15:00:31.798, 100, 348.92, 61
2025/07/30 15:00:32.820, 100, 349.91, 62
2025/07/30 15:00:33.880, 100, 350.02, 62
2025/07/30 15:00:34.911, 100, 351.66, 62
2025/07/30 15:00:35.955, 100, 348.12, 63
2025/07/30 15:00:37.018, 100, 349.74, 63
2025/07/30 15:00:38.060, 100, 350.24, 57
2025/07/30 15:00:39.100, 100, 339.12, 63
2025/07/30 15:00:40.142, 100, 348.31, 64
2025/07/30 15:00:41.204, 100, 350.26, 64
2025/07/30 15:00:42.245, 100, 342.09, 63
2025/07/30 15:00:43.305, 100, 359.30, 64
2025/07/30 15:00:44.327, 100, 349.42, 65
2025/07/30 15:00:45.351, 100, 348.62, 65
2025/07/30 15:00:46.412, 100, 342.10, 66
2025/07/30 15:00:47.471, 100, 345.58, 65
2025/07/30 15:00:48.511, 100, 349.77, 66
2025/07/30 15:00:49.551, 100, 349.52, 66
2025/07/30 15:00:50.592, 100, 344.23, 66
2025/07/30 15:00:51.632, 100, 357.13, 66
2025/07/30 15:00:52.697, 100, 349.66, 66
2025/07/30 15:00:53.740, 100, 350.41, 67
2025/07/30 15:00:54.780, 100, 340.29, 67
2025/07/30 15:00:55.820, 100, 353.49, 67
2025/07/30 15:00:56.880, 100, 349.55, 67
2025/07/30 15:00:57.920, 100, 350.03, 67
2025/07/30 15:00:58.981, 100, 347.65, 68
2025/07/30 15:01:00.028, 100, 352.22, 68
2025/07/30 15:01:01.069, 100, 351.09, 68
2025/07/30 15:01:02.138, 100, 350.26, 68
2025/07/30 15:01:03.181, 100, 355.67, 68
2025/07/30 15:01:04.203, 100, 351.55, 68
2025/07/30 15:01:05.244, 100, 349.51, 68
2025/07/30 15:01:06.285, 100, 351.04, 68
2025/07/30 15:01:07.349, 100, 350.90, 68
2025/07/30 15:01:08.373, 100, 352.13, 68
2025/07/30 15:01:09.419, 100, 349.26, 68
2025/07/30 15:01:10.459, 100, 350.11, 68
2025/07/30 15:01:11.503, 100, 349.08, 68
2025/07/30 15:01:12.566, 100, 352.83, 68
2025/07/30 15:01:13.612, 100, 350.04, 68
2025/07/30 15:01:14.638, 100, 350.69, 68
2025/07/30 15:01:15.680, 100, 347.07, 69
2025/07/30 15:01:16.722, 100, 358.30, 68
