Timestamp,Instantaneous(W),Min(W),Max(W),Avg(W),SamplingPeriod(s)
2025-07-30 14:59:58,405,15,1368,405,Seconds.
2025-07-30 14:59:59,519,15,1368,519,Seconds.
2025-07-30 15:00:00,529,15,1368,529,Seconds.
2025-07-30 15:00:01,1150,15,1368,1150,Seconds.
2025-07-30 15:00:02,1156,15,1368,1156,Seconds.
2025-07-30 15:00:03,1156,15,1368,1156,Seconds.
2025-07-30 15:00:04,1148,15,1368,1148,Seconds.
2025-07-30 15:00:05,1176,15,1368,1176,Seconds.
2025-07-30 15:00:06,1136,15,1368,1136,Seconds.
2025-07-30 15:00:07,1136,15,1368,1136,Seconds.
2025-07-30 15:00:08,1149,15,1368,1149,Seconds.
2025-07-30 15:00:09,1207,15,1368,1207,Seconds.
2025-07-30 15:00:11,1174,15,1368,1174,Seconds.
2025-07-30 15:00:12,1166,15,1368,1166,Seconds.
2025-07-30 15:00:13,1153,15,1368,1153,Seconds.
2025-07-30 15:00:14,1159,15,1368,1159,Seconds.
2025-07-30 15:00:15,1145,15,1368,1145,Seconds.
2025-07-30 15:00:16,1140,15,1368,1140,Seconds.
2025-07-30 15:00:17,1160,15,1368,1160,Seconds.
2025-07-30 15:00:18,1160,15,1368,1160,Seconds.
2025-07-30 15:00:19,1158,15,1368,1158,Seconds.
2025-07-30 15:00:20,1164,15,1368,1164,Seconds.
2025-07-30 15:00:21,1160,15,1368,1160,Seconds.
2025-07-30 15:00:22,1166,15,1368,1166,Seconds.
2025-07-30 15:00:23,1167,15,1368,1167,Seconds.
2025-07-30 15:00:24,1158,15,1368,1158,Seconds.
2025-07-30 15:00:25,1239,15,1368,1239,Seconds.
2025-07-30 15:00:26,1173,15,1368,1173,Seconds.
2025-07-30 15:00:27,1181,15,1368,1181,Seconds.
2025-07-30 15:00:28,1179,15,1368,1179,Seconds.
2025-07-30 15:00:29,1160,15,1368,1160,Seconds.
2025-07-30 15:00:31,1152,15,1368,1152,Seconds.
2025-07-30 15:00:32,1152,15,1368,1152,Seconds.
2025-07-30 15:00:33,1147,15,1368,1147,Seconds.
2025-07-30 15:00:34,1154,15,1368,1154,Seconds.
2025-07-30 15:00:35,1164,15,1368,1164,Seconds.
2025-07-30 15:00:36,1164,15,1368,1164,Seconds.
2025-07-30 15:00:37,1163,15,1368,1163,Seconds.
2025-07-30 15:00:38,1158,15,1368,1158,Seconds.
2025-07-30 15:00:39,1158,15,1368,1158,Seconds.
2025-07-30 15:00:40,1154,15,1368,1154,Seconds.
2025-07-30 15:00:41,1139,15,1368,1139,Seconds.
2025-07-30 15:00:42,1034,15,1368,1034,Seconds.
2025-07-30 15:00:43,1151,15,1368,1151,Seconds.
2025-07-30 15:00:44,1164,15,1368,1164,Seconds.
2025-07-30 15:00:45,1037,15,1368,1037,Seconds.
2025-07-30 15:00:46,1167,15,1368,1167,Seconds.
2025-07-30 15:00:47,1167,15,1368,1167,Seconds.
2025-07-30 15:00:49,1179,15,1368,1179,Seconds.
2025-07-30 15:00:50,1199,15,1368,1199,Seconds.
2025-07-30 15:00:51,1188,15,1368,1188,Seconds.
2025-07-30 15:00:52,1181,15,1368,1181,Seconds.
2025-07-30 15:00:53,1160,15,1368,1160,Seconds.
2025-07-30 15:00:54,1161,15,1368,1161,Seconds.
2025-07-30 15:00:55,1152,15,1368,1152,Seconds.
2025-07-30 15:00:56,1165,15,1368,1165,Seconds.
2025-07-30 15:00:57,1171,15,1368,1171,Seconds.
2025-07-30 15:00:58,1179,15,1368,1179,Seconds.
2025-07-30 15:00:59,1185,15,1368,1185,Seconds.
2025-07-30 15:01:00,1185,15,1368,1185,Seconds.
2025-07-30 15:01:01,1185,15,1368,1185,Seconds.
2025-07-30 15:01:02,1184,15,1368,1184,Seconds.
2025-07-30 15:01:03,1190,15,1368,1190,Seconds.
2025-07-30 15:01:04,1207,15,1368,1207,Seconds.
2025-07-30 15:01:05,1167,15,1368,1167,Seconds.
2025-07-30 15:01:06,1167,15,1368,1167,Seconds.
2025-07-30 15:01:08,1055,15,1368,1055,Seconds.
2025-07-30 15:01:09,1178,15,1368,1178,Seconds.
2025-07-30 15:01:10,1197,15,1368,1197,Seconds.
2025-07-30 15:01:11,1076,15,1368,1076,Seconds.
2025-07-30 15:01:12,1215,15,1368,1215,Seconds.
2025-07-30 15:01:13,1201,15,1368,1201,Seconds.
2025-07-30 15:01:14,1196,15,1368,1196,Seconds.
2025-07-30 15:01:15,1174,15,1368,1174,Seconds.
2025-07-30 15:01:16,1174,15,1368,1174,Seconds.
2025-07-30 15:01:17,1183,15,1368,1183,Seconds.
2025-07-30 15:01:18,1172,15,1368,1172,Seconds.
2025-07-30 15:01:19,1191,15,1368,1191,Seconds.
2025-07-30 15:01:20,1056,15,1368,1056,Seconds.
2025-07-30 15:01:21,1167,15,1368,1167,Seconds.
2025-07-30 15:01:22,1194,15,1368,1194,Seconds.
2025-07-30 15:01:23,1141,15,1368,1141,Seconds.
2025-07-30 15:01:24,1234,15,1368,1234,Seconds.
2025-07-30 15:01:26,1215,15,1368,1215,Seconds.
2025-07-30 15:01:27,1191,15,1368,1191,Seconds.
2025-07-30 15:01:28,1214,15,1368,1214,Seconds.
2025-07-30 15:01:29,1208,15,1368,1208,Seconds.
2025-07-30 15:01:30,1208,15,1368,1208,Seconds.
2025-07-30 15:01:31,1192,15,1368,1192,Seconds.
2025-07-30 15:01:32,1196,15,1368,1196,Seconds.
2025-07-30 15:01:33,1090,15,1368,1090,Seconds.
